Time, Remote IP, Local Port, Protocol
18,3662499618,80,10
18,3662499618,80,10
19,3662499618,443,10
19,3662499618,443,10
21,2057013262,80,10
21,2057013262,80,10
22,2379512144,443,10
22,2379512144,443,10
23,2061518642,80,10
23,2061518642,80,10
23,2061518642,80,10
23,2061518642,80,10
23,22888778,80,10
23,22888778,80,10
3,3662422862,53,5
7,2379512144,443,10
7,2379512144,443,10
7,1169094051,80,10
7,1169094051,80,10
8,1169094051,80,10
8,1169094051,80,10
8,1169094051,80,10
8,1169094051,80,10
8,1169094051,80,10
8,1169094051,80,10
8,1169094051,80,10
8,1169094051,80,10
8,1169094051,80,10
8,1169094051,80,10
8,1169094051,80,10
8,1169094051,80,10
8,1169094051,80,10
8,1169094051,80,10
8,1169094051,80,10
8,1169094051,80,10
8,1169094051,80,10
8,1169094051,80,10
8,1169094051,80,10
8,1169094051,80,10
8,1169094051,80,10
8,1169094051,80,10
8,1169094051,80,10
8,1169094051,80,10
8,1866713897,80,10
8,1866713897,80,10
8,3425369346,53,5
9,1266583736,80,10
9,1266583736,80,10
9,3524339297,80,10
9,3524339297,80,10
9,3524339297,80,10
9,3524339297,80,10
10,2379512144,443,10
10,2379512144,443,10
10,3093924685,53,5
10,2379512074,443,10
10,2379512074,443,10
10,2379512074,443,10
11,2731874340,80,10
11,2731874340,80,10
11,3658882907,80,10
11,3658882907,80,10
11,3658882907,80,10
11,3658882907,80,10
13,3662499618,80,10
13,3662499618,80,10
15,1582091353,80,10
15,1582091353,80,10
15,3662499618,443,10
15,3662499618,443,10
15,3702890158,80,10
15,3702890158,80,10
