42,42,2014-03-05,18:49:59,382,+8:00,0.0.0.0,68,203.177.109.21,67,UDP,RX,010106000FC13C3A3EE800000000000000000000000000000000000000306E9355020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063825363350101390205AA370401030417FF00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,300
43,43,2014-03-05,18:59:57,994,+8:00,0.0.0.0,68,203.177.109.21,67,UDP,RX,01010600B7BE3C3A414000000000000000000000000000000000000000306E9355020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063825363350101390205AA370401030417FF00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,300
44,44,2014-03-05,19:9:57,261,+8:00,0.0.0.0,68,203.177.109.21,67,UDP,RX,010106005FBC3C3A439800000000000000000000000000000000000000306E9355020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063825363350101390205AA370401030417FF00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,300
45,45,2014-03-05,19:19:56,184,+8:00,0.0.0.0,68,203.177.109.21,67,UDP,RX,0101060007BA3C3A45F000000000000000000000000000000000000000306E9355020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063825363350101390205AA370401030417FF00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,300
46,46,2014-03-05,19:29:55,748,+8:00,0.0.0.0,68,203.177.109.21,67,UDP,RX,01010600AFB73C3A484800000000000000000000000000000000000000306E9355020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063825363350101390205AA370401030417FF00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,300
47,47,2014-03-05,19:39:54,562,+8:00,0.0.0.0,68,203.177.109.21,67,UDP,RX,0101060057B53C3A4AA000000000000000000000000000000000000000306E9355020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063825363350101390205AA370401030417FF00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,300
48,48,2014-03-05,19:40:2,658,+8:00,222.161.12.85,38906,203.177.109.21,80,TCP,RX,SYN,0
49,48,2014-03-05,19:40:2,673,+8:00,222.161.12.85,38906,203.177.109.21,80,TCP,TX,FIN,0
50,49,2014-03-05,19:49:53,626,+8:00,0.0.0.0,68,203.177.109.21,67,UDP,RX,01010600FFB23C3A4CF800000000000000000000000000000000000000306E9355020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063825363350101390205AA370401030417FF00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,300
51,50,2014-03-05,19:59:51,957,+8:00,0.0.0.0,68,203.177.109.21,67,UDP,RX,01010600A8B03C3A4F4F00000000000000000000000000000000000000306E9355020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063825363350101390205AA370401030417FF00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,300
